GERAÇÃO 156:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 157:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 158:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 159:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 160:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 161:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 162:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 163:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 164:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 165:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 166:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 167:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 168:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 169:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 170:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 171:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 172:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 173:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 174:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 175:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 176:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 177:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 178:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 179:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 180:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 181:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 182:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 183:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 184:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 185:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 186:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 187:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 188:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 189:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 190:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 191:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 192:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 193:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 194:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 195:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 196:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 197:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 198:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 199:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 200:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 201:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 202:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 203:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 204:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 205:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 206:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 207:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 208:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 209:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 210:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 211:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 212:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 213:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 214:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 215:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 216:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 217:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 218:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 219:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 220:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 221:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 222:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 223:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 224:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 225:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 226:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 227:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 228:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 229:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 230:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 231:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 232:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
GERAÇÃO 233:  (a = 3.191442, b = -5.658118)   | ERRO: 0.021395   | MELHOR FITNESS: 0.979053
